Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Cone, Jack",1000258940,Left,OGD_RAP,Undefined,2,Bottom,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.52271,-3.268581,-2.360618,1949.844923,210.058204,1:00,5.93934,0.5925,6.00883,-25.71986,10.04004,5.27079,0.76208,-1.15642,81.86644,-8.000057,-1.412267,0.430397,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Coipel, Christian",1000001006,Left,OGD_RAP,Undefined,2,Bottom,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.78875,-2.887668,-2.716688,1904.660898,215.19605,1:15,5.90262,0.63657,6.03848,-24.59533,10.27918,6.57004,1.17404,-1.3332,82.54633,-7.435926,-1.534708,0.425036,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Coipel, Christian",1000001006,Left,OGD_RAP,Undefined,2,Bottom,2,2,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,86.68039,-0.826449,-1.279528,1899.574989,216.40528,1:15,6.01307,0.74434,5.93018,-26.08871,10.55316,7.03674,3.072,0.1434,80.33089,-5.667673,-0.015133,0.435673,99.32994,8.246936,25.492235,2568.649432,97.9653,6.17926,50.02789,149.19659,148.63796,28.005377,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Barns, Landen",1000249605,Right,OGD_RAP,Undefined,2,Bottom,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.11081,-0.712135,-2.801832,1896.333319,194.31552,12:30,5.91201,0.37317,5.96733,-24.94497,10.58469,2.44685,3.17219,-2.0227,81.49375,-5.347967,-2.362771,0.429009,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Bagnieski, Connor",1000024833,Left,OGD_RAP,Undefined,3,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Triple,0,0,,86.39307,-2.10215,-0.413787,1922.622571,195.877322,12:30,5.9742,0.54314,5.91031,-25.77844,11.14237,2.87957,1.87399,0.39905,80.26596,-6.870133,0.103808,0.437328,99.81883,32.669873,-5.71307,3551.045712,108.77978,65.91807,-16.33445,382.91968,368.80598,-14.649327,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Barns, Landen",1000249605,Right,OGD_RAP,Undefined,2,Bottom,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.34706,-0.896809,-0.942257,1909.468918,204.072306,12:45,5.94981,0.57208,6.01519,-24.72903,11.32394,4.60217,3.05816,0.0827,80.73845,-5.504892,-0.113966,0.432157,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Ultsch, Nick",1000252101,Left,OGD_RAP,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.24102,-1.921889,-1.444025,2041.146763,212.919244,1:00,5.9218,0.69645,6.10341,-23.37556,11.79493,7.00071,2.19531,-0.05583,81.81106,-6.276482,-0.181906,0.426836,95.25442,-15.12759,18.220919,,,,,9.06005,8.93865,15.63084,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,2,Bottom,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.22438,-2.254169,-2.20768,1829.336159,201.714281,12:45,5.96164,0.59083,6.08015,-23.42915,11.83233,4.31886,1.92109,-1.09276,81.82213,-6.611512,-1.429952,0.427387,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,2,Bottom,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.7926,-1.401142,-1.639222,2079.195686,204.985952,12:45,6.02687,0.56187,5.93213,-22.54513,13.26158,5.70658,2.8474,-0.48379,81.19043,-5.605611,-0.614221,0.430679,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Coipel, Christian",1000001006,Left,OGD_RAP,Undefined,2,Bottom,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.3858,-3.016325,-1.552456,1875.846783,194.783408,12:30,5.85792,0.58114,6.02235,-22.83115,13.31284,3.23555,1.15805,-0.58744,80.89001,-7.262643,-0.970009,0.432703,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Sargent, Christopher",1000098906,Right,OGD_RAP,Undefined,2,Bottom,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.53943,-2.11932,-0.525859,2014.330052,201.683514,12:45,6.02653,0.49024,5.89943,-23.31493,13.7604,5.02973,2.11521,0.4212,79.77747,-6.465285,0.377746,0.438242,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Sargent, Christopher",1000098906,Right,OGD_RAP,Undefined,2,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.35111,-3.17347,-2.114068,2037.819924,203.183289,12:45,5.97636,0.49158,6.04872,-20.7121,14.54402,5.79918,1.30759,-0.98308,81.93437,-7.035205,-1.070285,0.427355,,,,,,,,,,,,,,,,,,,
